date,province_raw,n,province,date_full
150,Guangdong,6,2,2020-03-30
151,Guangdong,11,2,2020-03-31
152,Guangdong,6,2,2020-04-01
153,Guangdong,7,2,2020-04-02
154,Guangdong,2,2,2020-04-03
155,Guangdong,8,2,2020-04-04
156,Guangdong,8,2,2020-04-05
157,Guangdong,1,2,2020-04-06
158,Guangdong,3,2,2020-04-07
159,Guangdong,3,2,2020-04-08
160,Guangdong,5,2,2020-04-09
161,Guangdong,4,2,2020-04-10
162,Guangdong,4,2,2020-04-11
163,Guangdong,3,2,2020-04-12
164,Guangdong,9,2,2020-04-13
165,Guangdong,2,2,2020-04-14
166,Guangdong,5,2,2020-04-15
167,Guangdong,6,2,2020-04-16
168,Guangdong,2,2,2020-04-17
169,Guangdong,1,2,2020-04-18
170,Guangdong,1,2,2020-04-19
171,Guangdong,1,2,2020-04-20
172,Guangdong,0,2,2020-04-21
173,Guangdong,2,2,2020-04-22
174,Guangdong,1,2,2020-04-23
175,Guangdong,0,2,2020-04-24
176,Guangdong,1,2,2020-04-25
177,Guangdong,1,2,2020-04-26
178,Guangdong,0,2,2020-04-27
179,Guangdong,1,2,2020-04-28
180,Guangdong,0,2,2020-04-29
181,Guangdong,0,2,2020-04-30
182,Guangdong,0,2,2020-05-01
183,Guangdong,0,2,2020-05-02
184,Guangdong,0,2,2020-05-03
185,Guangdong,0,2,2020-05-04
186,Guangdong,0,2,2020-05-05
187,Guangdong,1,2,2020-05-06
188,Guangdong,0,2,2020-05-07
189,Guangdong,0,2,2020-05-08
190,Guangdong,0,2,2020-05-09
191,Guangdong,0,2,2020-05-10
192,Guangdong,0,2,2020-05-11
193,Guangdong,0,2,2020-05-12
194,Guangdong,0,2,2020-05-13
195,Guangdong,0,2,2020-05-14
196,Guangdong,0,2,2020-05-15
197,Guangdong,1,2,2020-05-16
198,Guangdong,0,2,2020-05-17
199,Guangdong,0,2,2020-05-18
200,Guangdong,0,2,2020-05-19
201,Guangdong,1,2,2020-05-20
202,Guangdong,0,2,2020-05-21
203,Guangdong,0,2,2020-05-22
204,Guangdong,1,2,2020-05-23
205,Guangdong,0,2,2020-05-24
206,Guangdong,0,2,2020-05-25
207,Guangdong,0,2,2020-05-26
208,Guangdong,0,2,2020-05-27
209,Guangdong,0,2,2020-05-28
210,Guangdong,1,2,2020-05-29
211,Guangdong,0,2,2020-05-30
212,Guangdong,2,2,2020-05-31
213,Guangdong,1,2,2020-06-01
214,Guangdong,1,2,2020-06-02
215,Guangdong,1,2,2020-06-03
216,Guangdong,0,2,2020-06-04
217,Guangdong,3,2,2020-06-05
218,Guangdong,1,2,2020-06-06
219,Guangdong,0,2,2020-06-07
220,Guangdong,2,2,2020-06-08
221,Guangdong,0,2,2020-06-09
222,Guangdong,3,2,2020-06-10
223,Guangdong,0,2,2020-06-11
224,Guangdong,1,2,2020-06-12
225,Guangdong,17,2,2020-06-13
226,Guangdong,0,2,2020-06-14
227,Guangdong,3,2,2020-06-15
228,Guangdong,0,2,2020-06-16
0,Henan,0,3,2019-11-01
1,Henan,0,3,2019-11-02
2,Henan,0,3,2019-11-03
3,Henan,0,3,2019-11-04
4,Henan,0,3,2019-11-05
5,Henan,0,3,2019-11-06
6,Henan,0,3,2019-11-07
7,Henan,0,3,2019-11-08
8,Henan,0,3,2019-11-09
9,Henan,0,3,2019-11-10
10,Henan,0,3,2019-11-11
11,Henan,0,3,2019-11-12
12,Henan,0,3,2019-11-13
13,Henan,0,3,2019-11-14
14,Henan,0,3,2019-11-15
15,Henan,0,3,2019-11-16
16,Henan,0,3,2019-11-17
17,Henan,0,3,2019-11-18
18,Henan,0,3,2019-11-19
19,Henan,0,3,2019-11-20
20,Henan,0,3,2019-11-21
21,Henan,0,3,2019-11-22
22,Henan,0,3,2019-11-23
23,Henan,0,3,2019-11-24
24,Henan,0,3,2019-11-25
25,Henan,0,3,2019-11-26
26,Henan,0,3,2019-11-27
27,Henan,0,3,2019-11-28
28,Henan,0,3,2019-11-29
29,Henan,0,3,2019-11-30
30,Henan,0,3,2019-12-01
31,Henan,0,3,2019-12-02
32,Henan,0,3,2019-12-03
33,Henan,0,3,2019-12-04
34,Henan,0,3,2019-12-05
35,Henan,0,3,2019-12-06
36,Henan,0,3,2019-12-07
37,Henan,0,3,2019-12-08
38,Henan,0,3,2019-12-09
39,Henan,0,3,2019-12-10
40,Henan,0,3,2019-12-11
41,Henan,0,3,2019-12-12
42,Henan,0,3,2019-12-13
43,Henan,0,3,2019-12-14
44,Henan,0,3,2019-12-15
45,Henan,0,3,2019-12-16
46,Henan,0,3,2019-12-17
47,Henan,0,3,2019-12-18
48,Henan,0,3,2019-12-19
49,Henan,0,3,2019-12-20
50,Henan,0,3,2019-12-21
51,Henan,0,3,2019-12-22
52,Henan,0,3,2019-12-23
53,Henan,0,3,2019-12-24
54,Henan,0,3,2019-12-25
55,Henan,0,3,2019-12-26
56,Henan,0,3,2019-12-27
57,Henan,0,3,2019-12-28
58,Henan,0,3,2019-12-29
59,Henan,0,3,2019-12-30
60,Henan,0,3,2019-12-31
61,Henan,0,3,2020-01-01
62,Henan,0,3,2020-01-02
63,Henan,0,3,2020-01-03
64,Henan,0,3,2020-01-04
65,Henan,0,3,2020-01-05
66,Henan,0,3,2020-01-06
67,Henan,0,3,2020-01-07
68,Henan,0,3,2020-01-08
69,Henan,0,3,2020-01-09
70,Henan,0,3,2020-01-10
71,Henan,0,3,2020-01-11
72,Henan,0,3,2020-01-12
73,Henan,0,3,2020-01-13
74,Henan,0,3,2020-01-14
75,Henan,0,3,2020-01-15
76,Henan,0,3,2020-01-16
77,Henan,0,3,2020-01-17
78,Henan,0,3,2020-01-18
79,Henan,0,3,2020-01-19
80,Henan,0,3,2020-01-20
81,Henan,1,3,2020-01-21
82,Henan,4,3,2020-01-22
83,Henan,4,3,2020-01-23
84,Henan,23,3,2020-01-24
85,Henan,51,3,2020-01-25
86,Henan,45,3,2020-01-26
87,Henan,40,3,2020-01-27
88,Henan,38,3,2020-01-28
89,Henan,72,3,2020-01-29
90,Henan,74,3,2020-01-30
91,Henan,70,3,2020-01-31
92,Henan,71,3,2020-02-01
93,Henan,73,3,2020-02-02
94,Henan,109,3,2020-02-03
95,Henan,89,3,2020-02-04
96,Henan,87,3,2020-02-05
97,Henan,87,3,2020-02-06
98,Henan,67,3,2020-02-07
99,Henan,53,3,2020-02-08
100,Henan,40,3,2020-02-09
101,Henan,32,3,2020-02-10
102,Henan,30,3,2020-02-11
103,Henan,34,3,2020-02-12
104,Henan,15,3,2020-02-13
105,Henan,28,3,2020-02-14
106,Henan,19,3,2020-02-15
107,Henan,15,3,2020-02-16
108,Henan,11,3,2020-02-17
109,Henan,5,3,2020-02-18
110,Henan,4,3,2020-02-19
111,Henan,2,3,2020-02-20
112,Henan,3,3,2020-02-21
113,Henan,1,3,2020-02-22
114,Henan,0,3,2020-02-23
115,Henan,0,3,2020-02-24
116,Henan,0,3,2020-02-25
117,Henan,1,3,2020-02-26
118,Henan,0,3,2020-02-27
119,Henan,0,3,2020-02-28
120,Henan,0,3,2020-02-29
121,Henan,0,3,2020-03-01
122,Henan,0,3,2020-03-02
123,Henan,0,3,2020-03-03
124,Henan,0,3,2020-03-04
126,Henan,0,3,2020-03-06
127,Henan,0,3,2020-03-07
128,Henan,0,3,2020-03-08
129,Henan,0,3,2020-03-09
130,Henan,0,3,2020-03-10
131,Henan,1,3,2020-03-11
132,Henan,0,3,2020-03-12
133,Henan,0,3,2020-03-13
134,Henan,0,3,2020-03-14
135,Henan,0,3,2020-03-15
136,Henan,0,3,2020-03-16
137,Henan,0,3,2020-03-17
138,Henan,0,3,2020-03-18
139,Henan,0,3,2020-03-19
140,Henan,0,3,2020-03-20
141,Henan,0,3,2020-03-21
142,Henan,1,3,2020-03-22
143,Henan,0,3,2020-03-23
144,Henan,0,3,2020-03-24
145,Henan,1,3,2020-03-25
146,Henan,0,3,2020-03-26
147,Henan,0,3,2020-03-27
148,Henan,1,3,2020-03-28
149,Henan,0,3,2020-03-29
150,Henan,0,3,2020-03-30
151,Henan,0,3,2020-03-31
152,Henan,0,3,2020-04-01
153,Henan,0,3,2020-04-02
154,Henan,0,3,2020-04-03
155,Henan,0,3,2020-04-04
156,Henan,0,3,2020-04-05
157,Henan,0,3,2020-04-06
158,Henan,0,3,2020-04-07
159,Henan,0,3,2020-04-08
160,Henan,0,3,2020-04-09
161,Henan,0,3,2020-04-10
162,Henan,0,3,2020-04-11
163,Henan,0,3,2020-04-12
164,Henan,0,3,2020-04-13
165,Henan,0,3,2020-04-14
166,Henan,0,3,2020-04-15
167,Henan,0,3,2020-04-16
168,Henan,0,3,2020-04-17
169,Henan,0,3,2020-04-18
170,Henan,0,3,2020-04-19
171,Henan,0,3,2020-04-20
172,Henan,0,3,2020-04-21
173,Henan,0,3,2020-04-22
174,Henan,0,3,2020-04-23
175,Henan,0,3,2020-04-24
176,Henan,0,3,2020-04-25
177,Henan,0,3,2020-04-26
178,Henan,0,3,2020-04-27
179,Henan,0,3,2020-04-28
180,Henan,0,3,2020-04-29
181,Henan,0,3,2020-04-30
182,Henan,0,3,2020-05-01
183,Henan,0,3,2020-05-02
184,Henan,0,3,2020-05-03
185,Henan,0,3,2020-05-04
186,Henan,0,3,2020-05-05
187,Henan,0,3,2020-05-06
188,Henan,0,3,2020-05-07
189,Henan,0,3,2020-05-08
190,Henan,0,3,2020-05-09
191,Henan,0,3,2020-05-10
192,Henan,0,3,2020-05-11
193,Henan,0,3,2020-05-12
194,Henan,0,3,2020-05-13
195,Henan,0,3,2020-05-14
196,Henan,0,3,2020-05-15
197,Henan,0,3,2020-05-16
198,Henan,0,3,2020-05-17
199,Henan,0,3,2020-05-18
200,Henan,0,3,2020-05-19
201,Henan,0,3,2020-05-20
202,Henan,0,3,2020-05-21
203,Henan,0,3,2020-05-22
204,Henan,0,3,2020-05-23
205,Henan,0,3,2020-05-24
206,Henan,0,3,2020-05-25
207,Henan,0,3,2020-05-26
208,Henan,0,3,2020-05-27
209,Henan,0,3,2020-05-28
210,Henan,0,3,2020-05-29
211,Henan,0,3,2020-05-30
212,Henan,0,3,2020-05-31
213,Henan,0,3,2020-06-01
214,Henan,0,3,2020-06-02
215,Henan,0,3,2020-06-03
216,Henan,0,3,2020-06-04
217,Henan,0,3,2020-06-05
218,Henan,0,3,2020-06-06
219,Henan,0,3,2020-06-07
220,Henan,0,3,2020-06-08
221,Henan,0,3,2020-06-09
222,Henan,0,3,2020-06-10
223,Henan,0,3,2020-06-11
224,Henan,0,3,2020-06-12
225,Henan,0,3,2020-06-13
226,Henan,0,3,2020-06-14
227,Henan,0,3,2020-06-15
228,Henan,0,3,2020-06-16
0,Zhejiang,0,4,2019-11-01
1,Zhejiang,0,4,2019-11-02
2,Zhejiang,0,4,2019-11-03
3,Zhejiang,0,4,2019-11-04
4,Zhejiang,0,4,2019-11-05
5,Zhejiang,0,4,2019-11-06
6,Zhejiang,0,4,2019-11-07
7,Zhejiang,0,4,2019-11-08
8,Zhejiang,0,4,2019-11-09
9,Zhejiang,0,4,2019-11-10
10,Zhejiang,0,4,2019-11-11
11,Zhejiang,0,4,2019-11-12
12,Zhejiang,0,4,2019-11-13
13,Zhejiang,0,4,2019-11-14
14,Zhejiang,0,4,2019-11-15
15,Zhejiang,0,4,2019-11-16
16,Zhejiang,0,4,2019-11-17
17,Zhejiang,0,4,2019-11-18
18,Zhejiang,0,4,2019-11-19
19,Zhejiang,0,4,2019-11-20
20,Zhejiang,0,4,2019-11-21
21,Zhejiang,0,4,2019-11-22
22,Zhejiang,0,4,2019-11-23
