X,alpha,sigma
706,3.268402472,7.323435264
707,2.501354736,6.87545302
708,4.367078101,7.626279668
709,2.352792692,7.127545355
710,2.972741393,6.943043067
711,3.739475347,6.78116356
712,3.007657044,7.592353115
713,3.904738187,6.755882814
714,2.32637062,7.536473254
715,2.627567982,7.248651036
716,2.325644626,7.036525293
717,3.704254371,7.341886842
718,2.830559312,6.98713433
719,2.515729557,7.015364289
720,4.156402158,7.37287304
721,3.327990504,7.456037874
722,2.276682725,6.170694739
723,3.011836429,7.684990438
724,2.830281885,6.481323274
725,2.993115395,6.467151457
726,2.413495632,6.986062161
727,2.565920749,8.047065542
728,2.799690697,6.874818253
729,3.005577886,7.104106654
730,2.584979974,7.066880135
731,3.361205992,7.554828582
732,4.358579964,7.566237131
733,2.288215676,7.364343489
734,2.902184456,6.528405498
735,3.235899348,7.531692293
736,3.022861614,7.692188086
737,2.565824427,6.839937619
738,2.743798264,7.374991566
739,3.541920772,6.482980119
740,3.78894986,6.919322399
741,3.605495141,6.849510947
742,2.634605119,6.8479764
743,4.173471064,6.486952752
744,3.365755755,7.526299926
745,2.927933203,7.476247991
746,2.364931597,6.858457077
747,2.586957579,6.659736989
748,3.19637894,7.968805024
749,3.466295337,7.394681758
750,3.028004402,6.877402651
751,3.553314666,6.661679406
752,2.57441756,7.23136846
753,3.676027083,7.03400245
754,3.586149713,7.225729259
755,2.586791406,7.311017896
756,2.662177133,7.078410509
757,2.745380393,7.109096343
758,3.702650243,6.633451797
759,3.059058167,6.873299997
760,2.195620295,9.056647103
761,2.891571471,6.61354421
762,4.077715743,7.078061977
763,3.06773515,8.370896819
764,2.600713257,7.351928671
765,2.14200417,8.447428857
766,2.583605668,8.251946459
767,2.949766332,6.95651006
768,2.893525084,7.55482493
769,3.268996752,7.432565135
770,2.642518404,7.451133985
771,3.100975284,6.605418565
772,4.04133396,7.15102728
773,2.534655494,6.728670336
774,2.668038661,7.23926774
775,2.843716076,7.040408537
776,3.054946028,7.293890436
777,2.249726846,7.760301339
778,3.455623926,6.637747449
779,3.762763464,7.040364475
780,2.854907042,7.052803112
781,3.173502404,8.619654728
782,3.284477547,6.14691768
783,2.377506718,8.728040352
784,2.355543749,7.712532854
785,3.245483345,6.44621394
786,2.791897692,7.208478245
787,3.315662234,5.975100516
788,3.372691245,7.305866984
789,3.95008234,6.850965783
790,2.920572306,6.928925957
791,3.328826331,7.27647262
792,2.03923588,8.554364161
793,2.536881425,6.624890209
794,2.72377895,6.230289135
795,3.183516332,6.833530382
796,3.112952092,7.537179195
797,3.674273512,6.751561318
798,2.903012506,7.396353798
799,3.008450275,6.782838083
800,3.213245685,6.514317664
801,3.707616698,7.807289745
802,2.990888336,6.948336728
803,3.029673854,7.037520999
804,1.912609681,7.601700313
805,2.658659741,7.127122374
806,2.508133339,7.613465071
807,3.395778811,7.568357164
808,3.296870405,6.506212182
809,2.49048831,7.101866819
810,3.896184104,7.102079589
811,3.660792572,7.176594019
812,3.719870397,6.975716402
813,3.53119549,6.947664356
814,2.783203387,7.356835167
815,2.725855111,7.529986777
816,3.000446655,6.277865556
817,2.576632288,7.61916271
818,3.226347011,7.113319221
819,3.404465221,7.496816213
820,2.506608567,7.278423856
821,2.829557537,7.057011642
822,3.720202293,7.154563969
823,2.413718604,8.686784934
824,2.381685252,7.29390869
825,3.405289569,7.969475124
826,2.486482291,8.357992632
827,3.293936027,7.682802963
828,2.907034118,7.077887252
829,3.786443726,7.193714809
830,2.318947551,7.857019505
831,3.695715636,7.157180735
832,2.709521686,8.021006328
833,2.655200979,6.834311806
834,2.483715472,7.00370064
835,3.154996173,7.163733342
836,4.111476011,7.188870793
837,2.928368523,7.856653877
838,2.557590291,7.140790678
839,2.692142089,6.709201188
840,2.351850222,7.449101752
841,3.302169725,7.647372353
842,2.585572949,7.174880962
843,2.908903672,6.603048617
844,3.134492816,7.752595424
845,3.859245537,7.37287144
846,2.816495212,6.910886676
847,3.581412367,7.583019594
848,3.683752674,7.187646633
849,3.352842695,7.042768824
850,3.187367268,6.708838402
851,3.028023422,6.98172216
852,2.672534801,7.636228335
853,2.683354088,7.459629417
854,2.543499156,8.250224308
855,2.749037441,7.026271736
856,2.353642601,7.317422577
857,2.65015136,7.424690082
858,2.715663447,7.5660322
859,3.182534357,7.238949265
860,3.07601562,6.317531771
861,3.424034022,6.807566923
862,2.22880797,7.113379703
863,3.398276783,7.430540924
864,3.151633135,7.657929173
865,2.647459898,7.038223286
866,2.461828721,8.636689337
867,2.332173303,7.754656891
868,2.940582365,7.462800025
869,3.795898025,6.378270052
870,2.859564694,7.401306566
871,4.331253622,7.149017687
872,2.381214339,8.71850174
873,3.144096336,7.208035158
874,2.656814011,6.55477534
875,3.265883137,7.272991927
876,3.553208031,7.003912014
877,2.751458272,7.028000029
878,3.433027633,6.792631279
879,3.294253203,8.156728936
880,2.546008246,7.498839244
881,4.303291304,7.050700912
882,2.524474481,7.511141123
883,2.546592497,8.53530968
884,2.455898125,7.321785332
885,2.537823682,7.389285334
886,2.097768812,7.644551869
887,2.481495914,7.967631701
888,3.554755066,6.720373257
889,2.852471386,6.811651781
890,2.616921883,7.16861041
891,3.192141673,6.870302377
892,3.345452102,6.680453763
893,3.128613793,7.95441469
